Incidence Rate Report by State

"Oral Cavity & Pharynx (All Stages^), 2017-2021"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,6.6 ,6.5, 6.6,N/A , N/A , N/A,13691,stable,-0.2 ,-0.9, 0.5
"North Dakota(6)",38000,7.9 ,6.7, 9.2,1 , 1 , 42,35,stable,1.3 ,-0.9, 3.7
"Maine(6)",23000,7.8 ,7.1, 8.7,2 , 1 , 27,84,rising,1.4 ,0.6, 2.4
"Iowa(7)",19000,7.8 ,7.3, 8.4,3 , 1 , 19,161,rising,1.2 ,0.7, 1.7
"Washington(5)",53000,7.8 ,7.4, 8.2,4 , 1 , 12,366,rising,1.0 ,0.5, 1.6
"Connecticut(7)",09000,7.8 ,7.3, 8.3,5 , 1 , 17,194,rising,2.1 ,1.5, 3.0
"Kentucky(7)",21000,7.7 ,7.2, 8.1,6 , 1 , 19,222,rising,1.7 ,1.1, 2.4
"Minnesota(6)",27000,7.6 ,7.2, 8,7 , 1 , 18,275,stable,0.5 ,-0.3, 1.4
"West Virginia(6)",54000,7.4 ,6.7, 8.1,8 , 1 , 38,97,rising,1.4 ,0.3, 2.6
"Wisconsin(6)",55000,7.3 ,6.9, 7.7,9 , 2 , 25,289,rising,0.6 ,0.2, 1.0
"Nebraska(6)",31000,7.2 ,6.5, 8,10 , 1 , 40,86,stable,0.1 ,-1.4, 1.6
"Ohio(6)",39000,7.1 ,6.8, 7.4,11 , 6 , 27,557,rising,1.5 ,0.9, 2.2
"Florida(6)",12000,7.1 ,6.9, 7.3,12 , 7 , 25,1133,stable,-0.1 ,-0.6, 0.3
"Alaska(6)",02900,7.1 ,5.9, 8.4,13 , 1 , 48,27,stable,1.0 ,-1.5, 4.1
