Incidence Rate Report by State

"Oral Cavity & Pharynx (All Stages^), 2017-2021"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,18 ,17.9, 18.1,N/A , N/A , N/A,34229,stable,-0.2 ,-1.0, 0.4
"Florida(6)",12000,22.1 ,21.8, 22.5,1 , 1 , 4,3203,rising,0.4 ,0.1, 0.8
"West Virginia(6)",54000,21.8 ,20.6, 23,2 , 1 , 12,268,rising,1.9 ,1.2, 2.6
"Iowa(7)",19000,21.5 ,20.6, 22.5,3 , 1 , 11,415,rising,2.1 ,1.3, 4.1
"Kentucky(7)",21000,21.1 ,20.3, 22,4 , 1 , 12,573,rising,0.8 ,0.5, 1.2
"Maine(6)",23000,21.1 ,19.8, 22.5,5 , 1 , 18,205,stable,0.7 ,-0.3, 1.9
"Oklahoma(6)",40000,20.8 ,19.9, 21.7,6 , 2 , 16,463,rising,0.8 ,0.1, 1.5
"Louisiana(7)",22000,20.5 ,19.7, 21.3,7 , 2 , 17,545,rising,0.6 ,0.2, 0.9
"Arkansas(6)",05000,20.3 ,19.4, 21.3,8 , 2 , 20,364,rising,1.2 ,0.7, 1.7
"Tennessee(6)",47000,20.2 ,19.5, 20.8,9 , 4 , 18,822,falling,-2.3 ,-3.2, -1.7
"South Carolina(6)",45000,20 ,19.3, 20.7,10 , 4 , 20,629,stable,0.3 ,-0.3, 0.9
"Mississippi(6)",28000,20 ,19, 21,11 , 3 , 23,341,stable,0.0 ,-0.6, 0.7
"Missouri(6)",29000,19.7 ,19.1, 20.4,12 , 6 , 22,734,rising,0.9 ,0.3, 1.5
"Vermont(6)",50000,19.7 ,17.8, 21.8,13 , 1 , 40,87,stable,1.1 ,-0.3, 2.6
