State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Kentucky,21000,15,14,16.1,1,1,11,877,rising,1.2,0.9,1.5
Iowa,19000,14.8,13.6,16.1,2,1,16,605,rising,2.2,1.5,4
West Virginia,54000,14.5,13,16.1,3,1,25,381,rising,1.9,1.2,2.6
Maine,23000,14.3,12.7,16.1,4,1,31,311,stable,1.5,-0.1,3.8
Florida,12000,14.1,13.7,14.6,5,2,12,4532,stable,0.3,0,0.6
Alaska,2900,14,11.4,17,6,1,44,112,rising,1.3,0.1,2.6
Oklahoma,40000,13.9,12.9,15,7,1,24,673,rising,0.8,0.1,1.5
New Hampshire,33000,13.8,12.1,15.6,8,1,36,275,rising,0.9,0.3,1.6
Mississippi,28000,13.4,12.2,14.7,9,1,33,490,stable,0.2,-0.3,0.9
North Dakota,38000,13.4,11,16.1,10,1,46,121,stable,0.9,-0.3,2.3
Louisiana,22000,13.3,12.4,14.3,11,2,31,757,rising,0.7,0.4,1
Nebraska,31000,13.3,11.8,14.9,12,1,38,318,rising,1.2,0.5,1.8
Minnesota,27000,13.2,12.4,14.1,13,3,29,956,rising,1.1,0.7,1.7
Washington,53000,13.1,12.4,13.9,14,4,28,1254,rising,1.1,0.8,1.4
Hawaii,15000,13.1,11.5,14.9,15,1,40,254,rising,0.6,0.2,1.1
Arkansas,5000,12.9,11.7,14.1,16,2,37,499,rising,1.2,0.7,1.7
Georgia,13000,12.9,12.2,13.5,17,7,31,1631,stable,1,-1.4,3.1
Ohio,39000,12.8,12.2,13.4,18,7,29,2005,rising,1.8,1.6,2.1
Tennessee,47000,12.8,12.1,13.6,19,6,33,1149,falling,-1.6,-2.5,-0.4
Wisconsin,55000,12.7,11.9,13.6,20,6,35,1016,rising,1.1,0.6,1.7
North Carolina,37000,12.7,12,13.3,21,8,33,1710,rising,0.9,0.4,1.4
South Carolina,45000,12.6,11.7,13.5,22,7,37,880,stable,0.3,-0.1,0.8
Vermont,50000,12.3,10.1,15,23,1,49,117,stable,1,0,2.2
Kansas,20000,12.3,11.1,13.5,24,6,42,444,rising,1,0.5,1.5
Illinois,17000,12.2,11.6,12.8,25,14,36,1962,stable,-0.3,-2.5,0.8
Virginia,51000,12.2,11.5,12.9,26,12,38,1309,rising,1.1,0.6,1.5
Missouri,29000,12.1,11.4,13,27,10,39,976,rising,0.9,0.4,1.5
Texas,48000,11.9,11.5,12.3,28,19,37,3764,rising,0.9,0.7,1.6
Alabama,1000,11.9,11,12.8,29,12,42,777,falling,-0.6,-2.2,-0.1
Connecticut,9000,11.9,10.9,12.9,30,10,43,587,stable,-1.6,-3.5,1.1
South Dakota,46000,11.9,9.8,14.2,31,1,49,132,stable,1.1,-0.3,2.5
Idaho,16000,11.8,10.4,13.3,32,6,47,278,stable,0.4,-0.4,1.2
Pennsylvania,42000,11.7,11.2,12.3,33,21,40,2096,falling,-1.5,-2.9,-0.2
Montana,30000,11.5,9.8,13.5,34,4,49,171,stable,0.4,-0.4,1.2
Delaware,10000,11.4,9.6,13.5,35,5,50,164,stable,0.7,-0.1,1.7
Oregon,41000,11.4,10.5,12.3,36,17,45,641,falling,-1.1,-3,-0.1
Maryland,24000,11.3,10.5,12.1,37,21,44,885,rising,0.8,0.3,1.3
Michigan,26000,11.2,10.6,11.8,38,26,44,1498,stable,-2.5,-4.6,0
New Jersey,34000,11,10.4,11.7,39,28,45,1350,rising,0.7,0.4,1
New York,36000,11,10.6,11.4,40,31,44,2839,rising,0.8,0.6,1
Rhode Island,44000,10.9,9.2,12.9,41,9,50,161,stable,0.7,-0.1,1.6
California,6000,10.1,9.8,10.4,42,40,48,4708,falling,-0.3,-0.6,-0.1
Utah,49000,10.1,9,11.3,43,29,50,313,rising,2.2,0.9,6.1
Massachusetts,25000,10.1,9.4,10.8,44,37,49,925,falling,-4.5,-7,-1.5
Colorado,8000,10,9.3,10.8,45,36,50,694,rising,0.9,0.4,1.5
New Mexico,35000,10,8.8,11.3,46,26,50,276,stable,-0.1,-3.7,2.8
District of Columbia,11001,9.7,7.5,12.3,47,8,50,67,falling,-1.9,-3.2,-0.7
Arizona,4000,9.5,8.9,10.2,48,40,50,901,stable,0.3,-0.2,0.9
Nevada,32000,9.1,8.2,10.2,49,40,50,351,falling,-4.4,-7.3,-0.8
Puerto Rico,72001,8.5,7.6,9.4,N/A , N/A , N/A,423,falling,-2.8,-7.2,-0.9
Wyoming,56000,8.3,6.3,10.8,50,31,50,62,stable,-0.2,-2,1.7
Indiana,18000,data not available ,data not available, data not available,N/A , N/A , N/A,NULL,data not available,data not available,data not available,data not available
