Incidence Rate Report by State

"Oral Cavity & Pharynx (All Stages^), 2021"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,17.9 ,17.7, 18.1,N/A , N/A , N/A,35140,stable,-0.2 ,-1.0, 0.4
"Kentucky(7)",21000,22.9 ,21.1, 24.8,1 , 1 , 13,632,rising,0.8 ,0.5, 1.2
"Iowa(7)",19000,22.7 ,20.5, 25,2 , 1 , 17,445,rising,2.1 ,1.3, 4.1
"Florida(2)",12000,22 ,21.2, 22.8,3 , 1 , 11,3347,rising,0.4 ,0.1, 0.8
"New Hampshire(2)",33000,22 ,19, 25.4,4 , 1 , 33,214,rising,1.1 ,0.4, 1.9
"Oklahoma(2)",40000,21.6 ,19.7, 23.7,5 , 1 , 22,499,rising,0.8 ,0.1, 1.5
"Louisiana(7)",22000,21.2 ,19.5, 23.1,6 , 1 , 25,566,rising,0.6 ,0.2, 0.9
"West Virginia(2)",54000,21 ,18.5, 23.8,7 , 1 , 34,267,rising,1.9 ,1.2, 2.6
"Maine(2)",23000,21 ,18.1, 24.2,8 , 1 , 37,214,stable,0.7 ,-0.3, 1.9
"Alaska(2)",02900,20.9 ,16.5, 26.2,9 , 1 , 47,86,rising,7.2 ,0.8, 11.8
"Mississippi(2)",28000,20.6 ,18.4, 23,10 , 1 , 33,355,stable,0.0 ,-0.6, 0.7
"Hawaii(7)",15000,20.5 ,17.6, 23.8,11 , 1 , 40,186,stable,0.6 ,0.0, 1.2
"Nebraska(2)",31000,20.3 ,17.7, 23.2,12 , 1 , 38,235,rising,1.4 ,0.7, 2.2
"South Carolina(2)",45000,19.9 ,18.4, 21.6,13 , 3 , 32,655,stable,0.3 ,-0.3, 0.9
"North Dakota(2)",38000,19.8 ,15.8, 24.6,14 , 1 , 47,88,stable,0.4 ,-1.0, 2.0
"Arkansas(2)",05000,19.5 ,17.5, 21.7,15 , 2 , 39,359,rising,1.2 ,0.7, 1.7
"Minnesota(2)",27000,19.3 ,17.8, 20.8,16 , 6 , 36,672,rising,1.3 ,0.9, 1.7
"Georgia(7)",13000,19.1 ,18, 20.3,17 , 8 , 34,1137,rising,0.6 ,0.3, 1.1
"North Carolina(2)",37000,19.1 ,18, 20.3,18 , 8 , 33,1214,rising,0.8 ,0.4, 1.2
"Tennessee(2)",47000,19.1 ,17.8, 20.5,19 , 7 , 35,811,falling,-2.3 ,-3.2, -1.7
"Ohio(2)",39000,19 ,18, 20.1,20 , 9 , 33,1418,rising,1.8 ,1.5, 2.1
"Vermont(2)",50000,19 ,15.1, 23.7,21 , 1 , 49,90,stable,1.1 ,-0.3, 2.6
"Illinois(7)",17000,18.9 ,17.9, 20,22 , 9 , 34,1436,rising,0.8 ,0.5, 1.0
"South Dakota(2)",46000,18.9 ,15.3, 23.1,23 , 1 , 48,105,stable,1.1 ,-0.5, 2.7
"Kansas(2)",20000,18.9 ,16.8, 21.1,24 , 4 , 41,327,stable,-0.8 ,-5.6, 0.8
"Washington(4)",53000,18.6 ,17.4, 20,25 , 9 , 37,859,rising,1.1 ,0.7, 1.5
"Missouri(2)",29000,18.5 ,17.1, 20,26 , 9 , 38,706,rising,0.9 ,0.3, 1.5
"Wisconsin(2)",55000,18.5 ,17.1, 19.9,27 , 9 , 39,720,rising,1.3 ,0.6, 2.0
"Texas(7)",48000,18.1 ,17.5, 18.9,28 , 16 , 35,2727,rising,1.0 ,0.7, 1.9
"Maryland(2)",24000,17.9 ,16.5, 19.4,29 , 12 , 41,651,rising,0.9 ,0.3, 1.5
"Virginia(2)",51000,17.9 ,16.7, 19.1,30 , 13 , 40,911,rising,1.0 ,0.5, 1.5
"Pennsylvania(2)",42000,17.9 ,16.9, 18.8,31 , 17 , 38,1514,stable,-0.6 ,-2.0, 1.1
"Alabama(2)",01000,17.8 ,16.3, 19.4,32 , 11 , 42,545,falling,-0.8 ,-3.8, -0.2
"Delaware(2)",10000,17.7 ,14.6, 21.5,33 , 2 , 49,121,stable,0.8 ,-0.3, 2.0
